11:50:17 | LOCK_ACQUIRED | sim=0.45
11:50:17 | MOVE_LEFT | nose_x=0.37
11:50:18 | MOVE_LEFT | nose_x=0.18
11:50:20 | MOVE_RIGHT | nose_x=0.66
11:50:24 | MOVE_RIGHT | nose_x=0.64
11:50:25 | MOVE_RIGHT | nose_x=0.97
11:50:26 | MOVE_RIGHT | nose_x=0.79
11:50:27 | MOVE_LEFT | nose_x=0.43
11:50:28 | MOVE_LEFT | nose_x=0.21
11:50:29 | SMILE | ratio=0.47
11:50:29 | MOVE_LEFT | nose_x=0.47
11:50:29 | SMILE | ratio=0.47
11:50:29 | MOVE_LEFT | nose_x=0.48
11:50:29 | SMILE | ratio=0.48
11:50:29 | MOVE_LEFT | nose_x=0.48
11:50:29 | SMILE | ratio=0.49
11:50:29 | MOVE_LEFT | nose_x=0.49
11:50:29 | SMILE | ratio=0.49
11:50:30 | MOVE_LEFT | nose_x=0.50
11:50:30 | SMILE | ratio=0.47
11:50:30 | MOVE_LEFT | nose_x=0.50
11:50:31 | BLINK | EAR=0.15
11:50:31 | MOVE_LEFT | nose_x=0.50
11:50:33 | MOVE_LEFT | nose_x=0.49
11:50:34 | MOVE_LEFT | nose_x=0.48
11:50:35 | MOVE_LEFT | nose_x=0.49
11:50:37 | LOCK_LOST | Target disappeared
11:50:55 | LOCK_ACQUIRED | sim=0.44
11:50:55 | MOVE_RIGHT | nose_x=0.94
11:50:56 | LOCK_LOST | Target disappeared
11:50:57 | LOCK_ACQUIRED | sim=0.50
11:50:57 | MOVE_LEFT | nose_x=0.41
11:50:58 | MOVE_LEFT | nose_x=0.50
11:51:00 | MOVE_LEFT | nose_x=0.47
11:51:01 | MOVE_LEFT | nose_x=0.47
11:51:02 | MOVE_RIGHT | nose_x=0.62
11:51:03 | MOVE_RIGHT | nose_x=0.68
11:51:04 | MOVE_LEFT | nose_x=0.50
11:51:05 | MOVE_LEFT | nose_x=0.29
11:51:07 | MOVE_LEFT | nose_x=0.18
11:51:08 | MOVE_LEFT | nose_x=0.41
11:51:09 | MOVE_LEFT | nose_x=0.44
11:51:09 | MOVE_RIGHT | nose_x=0.60
11:51:10 | MOVE_RIGHT | nose_x=0.86
11:51:11 | MOVE_RIGHT | nose_x=0.61
11:51:12 | MOVE_RIGHT | nose_x=0.62
11:51:13 | MOVE_LEFT | nose_x=0.49
11:51:13 | LOCK_LOST | Target disappeared
11:51:20 | LOCK_ACQUIRED | sim=0.57
11:51:20 | MOVE_LEFT | nose_x=0.03
11:51:21 | MOVE_LEFT | nose_x=0.22
11:51:22 | MOVE_RIGHT | nose_x=0.60
11:51:24 | MOVE_RIGHT | nose_x=0.60
11:51:25 | MOVE_RIGHT | nose_x=0.71
11:51:26 | MOVE_RIGHT | nose_x=0.60
11:51:26 | MOVE_LEFT | nose_x=0.46
11:51:27 | MOVE_LEFT | nose_x=0.42
